ID,name,createdAt,createdBy,modifiedAt,modifiedBy
28925587-82be-4e62-be39-3c0747d9a910,Mira Sen,2023-01-10T09:15:00.000Z,catalog.admin@example.com,2025-02-14T11:20:00.000Z,catalog.editor@example.com
14360188-d1f4-4144-813a-3f4ba6257c83,Owen Hart,2023-01-12T10:00:00.000Z,catalog.admin@example.com,2025-01-09T16:45:00.000Z,catalog.editor@example.com
14360189-3156-458e-ae24-a528c2e9ffa3,Priya Nair,2023-02-03T08:40:00.000Z,catalog.admin@example.com,2025-03-02T12:10:00.000Z,catalog.editor@example.com
14360190-40da-49b8-bd4f-39ce7c46e8f1,Daniel Brooks,2023-02-18T13:25:00.000Z,catalog.admin@example.com,2025-02-28T09:05:00.000Z,catalog.editor@example.com
14360191-aff1-48c4-99ef-576598da8a4e,Elena Kovacs,2023-03-05T15:05:00.000Z,catalog.admin@example.com,2025-04-15T10:30:00.000Z,catalog.editor@example.com
14360192-2f6e-41c2-8c51-6d8b4f72900c,Theo Marino,2023-03-11T09:50:00.000Z,catalog.admin@example.com,2025-05-19T14:15:00.000Z,catalog.editor@example.com
14360193-b818-4a81-88d5-fcfcbc12d40d,Leila Stone,2023-04-01T11:35:00.000Z,catalog.admin@example.com,2025-01-22T08:55:00.000Z,catalog.editor@example.com
14360194-2003-49d7-8c67-7673234005c1,Amina Clarke,2023-04-17T12:45:00.000Z,catalog.admin@example.com,2025-06-04T15:40:00.000Z,catalog.editor@example.com
14360195-3025-41b2-a427-5acacec07c4c,Jonas Richter,2023-05-09T10:20:00.000Z,catalog.admin@example.com,2025-03-27T13:10:00.000Z,catalog.editor@example.com
14360196-13b5-4968-a873-c780f89c7075,Sofia Alvarez,2023-05-21T14:30:00.000Z,catalog.admin@example.com,2025-04-08T11:25:00.000Z,catalog.editor@example.com
